wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real
1777125622.156326771,1777125622.156332970,ideal,1777125621.963000059,1777125621.995413780,0.159623861,0.038122416,0.159623861,0.032413721,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.856273830,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856269450,-0.425789033,-0.451692945,-2.799697630,0.352018538,2.752345085,4.081194375,2.799697630,1,201
1777125622.206349850,1777125622.206359148,ideal,1777125621.963000059,1777125622.196784258,0.008592367,0.088145494,0.008592367,0.233784199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.799697630,0.352018538,2.752345085,4.081190349,2.799697630,1,202
1777125622.256366730,1777125622.256374359,ideal,1777125621.963000059,1777125622.196784258,0.058609247,0.138162374,0.058609247,0.233784199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.799697630,0.352018538,2.752345085,4.081190349,2.799697630,1,202
1777125622.306404591,1777125622.306414127,ideal,1777125621.963000059,1777125622.196784258,0.108647108,0.188200235,0.108647108,0.233784199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.799697630,0.352018538,2.752345085,4.081190349,2.799697630,1,202
1777125622.356492519,1777125622.356508493,ideal,1777125621.963000059,1777125622.196784258,0.158735037,0.238288164,0.158735037,0.233784199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.799697630,0.352018538,2.752345085,4.081190349,2.799697630,1,202
1777125622.406338453,1777125622.406345367,ideal,1777125621.963000059,1777125622.398206234,0.006967306,0.288134098,0.006967306,0.435206175,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203
1777125622.456527948,1777125622.456539154,ideal,1777125621.963000059,1777125622.398206234,0.057156801,0.338323593,0.057156801,0.435206175,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203
1777125622.506488562,1777125622.506497622,ideal,1777125621.963000059,1777125622.398206234,0.107117414,0.388284206,0.107117414,0.435206175,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203
1777125622.556337833,1777125622.556344748,ideal,1777125621.963000059,1777125622.398206234,0.156966686,0.438133478,0.156966686,0.435206175,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203
1777125622.606259108,1777125622.606264353,ideal,1777125621.963000059,1777125622.599675894,0.005437374,0.488054752,0.005437374,0.636675835,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.805186510,0.400806159,0.424912691,2.645733356,-0.332362503,-2.593961477,-0.805182130,-0.400721853,-0.424955673,-2.645724289,0.332364413,2.593961477,3.850771722,2.645724289,1,204
