wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real,t_rel,twin_x,twin_y,twin_z,real_x,real_y,real_z,cart_err_m,twin_velocity_mps,real_velocity_mps,aoi_abs_s,k_aoi_eef_twin_m,k_aoi_eef_real_m,k_aoi_eef_max_m
1777125622.1563268,1777125622.1563327,ideal,1777125621.963,1777125621.9954135,0.159623861,0.038122416,0.159623861,0.032413721,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.85627383,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.85626945,-0.425789033,-0.451692945,-2.79969763,0.352018538,2.752345085,4.081194375,2.79969763,1,201,0.0,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.10817562386134845,0.11368332133407408,0.14135448998106992,0.11628632534484666,0.0,0.0,0.159623861,0.0,0.0,0.0
1777125622.2063498,1777125622.2063591,ideal,1777125621.963,1777125622.1967843,0.008592367,0.088145494,0.008592367,0.233784199,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.79969763,0.352018538,2.752345085,4.081190349,2.79969763,1,202,0.05002307891845703,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.10817780576541025,0.11368124509838655,0.14135448998106992,0.11628469331988084,0.0,3.612596239213409e-05,0.008592367,0.0,3.10407527101414e-07,3.10407527101414e-07
1777125622.2563667,1777125622.2563744,ideal,1777125621.963,1777125622.1967843,0.058609247,0.138162374,0.058609247,0.233784199,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.79969763,0.352018538,2.752345085,4.081190349,2.79969763,1,202,0.10003995895385742,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.10817780576541025,0.11368124509838655,0.14135448998106992,0.11628469331988084,0.0,2.4083974928089393e-05,0.058609247,0.0,1.4115436353021986e-06,1.4115436353021986e-06
1777125622.3064044,1777125622.306414,ideal,1777125621.963,1777125622.1967843,0.108647108,0.188200235,0.108647108,0.233784199,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.79969763,0.352018538,2.752345085,4.081190349,2.79969763,1,202,0.15007758140563965,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.10817780576541025,0.11368124509838655,0.14135448998106992,0.11628469331988084,0.0,0.01785863321325821,0.108647108,0.0,0.0019402888514532517,0.0019402888514532517
1777125622.3564923,1777125622.3565085,ideal,1777125621.963,1777125622.1967843,0.158735037,0.238288164,0.158735037,0.233784199,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.856254637,0.425873339,0.451649964,2.799706697,-0.352016628,-2.752345085,-0.856250257,-0.425789033,-0.451692945,-2.79969763,0.352018538,2.752345085,4.081190349,2.79969763,1,202,0.2001655101776123,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.10817780576541025,0.11368124509838655,0.14135448998106992,0.11628469331988084,0.0,0.017846591225794163,0.158735037,0.0,0.002832879318550312,0.002832879318550312
1777125622.4063385,1777125622.4063451,ideal,1777125621.963,1777125622.3982062,0.006967306,0.288134098,0.006967306,0.435206175,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203,0.250011682510376,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11035612104082515,0.10985859183759536,0.142007382452627,0.11291225847022987,0.0,0.017846591225794163,0.006967306,0.0,0.00012434266212702305,0.00012434266212702305
1777125622.456528,1777125622.4565392,ideal,1777125621.963,1777125622.3982062,0.057156801,0.338323593,0.057156801,0.435206175,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203,0.3002011775970459,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11035612104082515,0.10985859183759536,0.142007382452627,0.11291225847022987,0.0,0.017846591225794163,0.057156801,0.0,0.001020054063221063,0.001020054063221063
1777125622.5064883,1777125622.5064976,ideal,1777125621.963,1777125622.3982062,0.107117414,0.388284206,0.107117414,0.435206175,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203,0.3501615524291992,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11035612104082515,0.10985859183759536,0.142007382452627,0.11291225847022987,0.0,0.04402378495536115,0.107117414,0.0,0.004715713998910391,0.004715713998910391
1777125622.5563378,1777125622.5563447,ideal,1777125621.963,1777125622.3982062,0.156966686,0.438133478,0.156966686,0.435206175,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.835595787,0.415908217,0.441013724,2.746017456,-0.345864743,-2.692136288,-0.835591407,-0.415823911,-0.441056705,-2.746008389,0.345866653,2.692136288,3.996678264,2.746008389,1,203,0.4000110626220703,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11035612104082515,0.10985859183759536,0.142007382452627,0.11291225847022987,0.0,0.026177193729566985,0.156966686,0.0,0.00410894734851011,0.00410894734851011
1777125622.606259,1777125622.6062644,ideal,1777125621.963,1777125622.599676,0.005437374,0.488054752,0.005437374,0.636675835,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.80518651,0.400806159,0.424912691,2.645733356,-0.332362503,-2.593961477,-0.80518213,-0.400721853,-0.424955673,-2.645724289,0.332364413,2.593961477,3.850771722,2.645724289,1,204,0.449932336807251,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11375800829993096,0.10435060752310016,0.14289189008070885,0.10826011897504866,0.0,0.026177193729566985,0.005437374,0.0,0.00014233519257811055,0.00014233519257811055
1777125622.65624,1777125622.6562448,ideal,1777125621.963,1777125622.599676,0.055418253,0.538035631,0.055418253,0.636675835,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.80518651,0.400806159,0.424912691,2.645733356,-0.332362503,-2.593961477,-0.80518213,-0.400721853,-0.424955673,-2.645724289,0.332364413,2.593961477,3.850771722,2.645724289,1,204,0.49991321563720703,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11375800829993096,0.10435060752310016,0.14289189008070885,0.10826011897504866,0.0,0.026177193729566985,0.055418253,0.0,0.0014506943449351568,0.0014506943449351568
1777125622.7062483,1777125622.7062535,ideal,1777125621.963,1777125622.599676,0.10542655,0.588043928,0.10542655,0.636675835,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.80518651,0.400806159,0.424912691,2.645733356,-0.332362503,-2.593961477,-0.80518213,-0.400721853,-0.424955673,-2.645724289,0.332364413,2.593961477,3.850771722,2.645724289,1,204,0.5499215126037598,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11375800829993096,0.10435060752310016,0.14289189008070885,0.10826011897504866,0.0,0.05144981143309692,0.10542655,0.0,0.005424176117541963,0.005424176117541963
1777125622.7562795,1777125622.7562857,ideal,1777125621.963,1777125622.599676,0.155457735,0.638075113,0.155457735,0.636675835,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.80518651,0.400806159,0.424912691,2.645733356,-0.332362503,-2.593961477,-0.80518213,-0.400721853,-0.424955673,-2.645724289,0.332364413,2.593961477,3.850771722,2.645724289,1,204,0.5999526977539062,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11375800829993096,0.10435060752310016,0.14289189008070885,0.10826011897504866,0.0,0.025272617703529933,0.155457735,0.0,0.003928823905711665,0.003928823905711665
1777125622.8062675,1777125622.8062763,ideal,1777125621.963,1777125622.8011339,0.003023624,0.688063383,0.003023624,0.838133812,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.774372697,0.385286123,0.408625633,2.542381525,-0.317981422,-2.495786667,-0.774368317,-0.385201817,-0.408668614,-2.542372458,0.317983332,2.495786667,3.702534128,2.542372458,1,205,0.6499407291412354,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1169239805041401,0.09895707544762433,0.14377868112237066,0.10385145321230833,0.0,0.025272617703529933,0.003023624,0.0,7.641489343121798e-05,7.641489343121798e-05
1777125622.856492,1777125622.8565032,ideal,1777125621.963,1777125622.8011339,0.053247929,0.738287687,0.053247929,0.838133812,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.774372697,0.385286123,0.408625633,2.542381525,-0.317981422,-2.495786667,-0.774368317,-0.385201817,-0.408668614,-2.542372458,0.317983332,2.495786667,3.702534128,2.542372458,1,205,0.7001652717590332,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1169239805041401,0.09895707544762433,0.14377868112237066,0.10385145321230833,0.0,0.025272617703529933,0.053247929,0.0,0.001345714553121705,0.001345714553121705
1777125622.9062555,1777125622.9062612,ideal,1777125621.963,1777125622.8011339,0.103011608,0.788051367,0.103011608,0.838133812,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.774372697,0.385286123,0.408625633,2.542381525,-0.317981422,-2.495786667,-0.774368317,-0.385201817,-0.408668614,-2.542372458,0.317983332,2.495786667,3.702534128,2.542372458,1,205,0.7499287128448486,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1169239805041401,0.09895707544762433,0.14377868112237066,0.10385145321230833,0.0,0.049801786123127224,0.103011608,0.0,0.005130162069815421,0.005130162069815421
1777125622.9564087,1777125622.9564188,ideal,1777125621.963,1777125622.8011339,0.153164864,0.838204622,0.153164864,0.838133812,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.774372697,0.385286123,0.408625633,2.542381525,-0.317981422,-2.495786667,-0.774368317,-0.385201817,-0.408668614,-2.542372458,0.317983332,2.495786667,3.702534128,2.542372458,1,205,0.8000819683074951,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1169239805041401,0.09895707544762433,0.14377868112237066,0.10385145321230833,0.0,0.02452916841959729,0.153164864,0.0,0.003757006745020714,0.003757006745020714
1777125623.006189,1777125623.0061965,ideal,1777125621.963,1777125623.0027516,0.002089024,0.887984753,0.002089024,1.03975153,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.743229032,0.36977756,0.392001122,2.442672729,-0.304718882,-2.393585205,-0.743224652,-0.369693254,-0.392044104,-2.442663662,0.304720792,2.393585205,3.554077268,2.442663662,1,206,0.8498623371124268,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11961091314231995,0.09354009822378635,0.14462254930389234,0.09947202105437611,0.0,0.02452916841959729,0.002089024,0.0,5.124202152858081e-05,5.124202152858081e-05
1777125623.0565715,1777125623.0565848,ideal,1777125621.963,1777125623.0027516,0.052471638,0.938367367,0.052471638,1.03975153,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.743229032,0.36977756,0.392001122,2.442672729,-0.304718882,-2.393585205,-0.743224652,-0.369693254,-0.392044104,-2.442663662,0.304720792,2.393585205,3.554077268,2.442663662,1,206,0.9002447128295898,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11961091314231995,0.09354009822378635,0.14462254930389234,0.09947202105437611,0.0,0.02452916841959729,0.052471638,0.0,0.0012870856457541412,0.0012870856457541412
1777125623.1064343,1777125623.1064444,ideal,1777125621.963,1777125623.0027516,0.102334499,0.988230228,0.102334499,1.03975153,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.743229032,0.36977756,0.392001122,2.442672729,-0.304718882,-2.393585205,-0.743224652,-0.369693254,-0.392044104,-2.442663662,0.304720792,2.393585205,3.554077268,2.442663662,1,206,0.9501075744628906,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11961091314231995,0.09354009822378635,0.14462254930389234,0.09947202105437611,0.0,0.047548922441129515,0.102334499,0.0,0.0048658951560028455,0.0048658951560028455
1777125623.1564662,1777125623.1564767,ideal,1777125621.963,1777125623.0027516,0.152366161,1.03826189,0.152366161,1.03975153,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.743229032,0.36977756,0.392001122,2.442672729,-0.304718882,-2.393585205,-0.743224652,-0.369693254,-0.392044104,-2.442663662,0.304720792,2.393585205,3.554077268,2.442663662,1,206,1.0001394748687744,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.11961091314231995,0.09354009822378635,0.14462254930389234,0.09947202105437611,0.0,0.023019754021532224,0.152366161,0.0,0.0035074315474251765,0.0035074315474251765
1777125623.2066443,1777125623.206653,ideal,1777125621.963,1777125623.2044382,0.000618458,1.088439941,0.000618458,1.24143815,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.712645292,0.354349554,0.375896245,2.340854645,-0.292255312,-2.293301344,-0.712640912,-0.354265248,-0.375939227,-2.340845578,0.292257222,2.293301344,3.40571499,2.340845578,1,207,1.0503175258636475,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.12202698497243004,0.08836376736026087,0.14547331953162798,0.09540488444250582,0.0,0.023019754021532224,0.000618458,0.0,1.4236751032648776e-05,1.4236751032648776e-05
1777125623.2564156,1777125623.2564251,ideal,1777125621.963,1777125623.2044382,0.050389767,1.13821125,0.050389767,1.24143815,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.712645292,0.354349554,0.375896245,2.340854645,-0.292255312,-2.293301344,-0.712640912,-0.354265248,-0.375939227,-2.340845578,0.292257222,2.293301344,3.40571499,2.340845578,1,207,1.1000888347625732,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.12202698497243004,0.08836376736026087,0.14547331953162798,0.09540488444250582,0.0,0.023019754021532224,0.050389767,0.0,0.0011599600415423217,0.0011599600415423217
1777125623.306578,1777125623.306591,ideal,1777125621.963,1777125623.2044382,0.100552082,1.188373566,0.100552082,1.24143815,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.712645292,0.354349554,0.375896245,2.340854645,-0.292255312,-2.293301344,-0.712640912,-0.354265248,-0.375939227,-2.340845578,0.292257222,2.293301344,3.40571499,2.340845578,1,207,1.1502511501312256,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.12202698497243004,0.08836376736026087,0.14547331953162798,0.09540488444250582,0.0,0.023019754021532224,0.100552082,0.0,0.002314684193992938,0.002314684193992938
1777125623.3564377,1777125623.3564477,ideal,1777125621.963,1777125623.2044382,0.150411844,1.238233328,0.150411844,1.24143815,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.712645292,0.354349554,0.375896245,2.340854645,-0.292255312,-2.293301344,-0.712640912,-0.354265248,-0.375939227,-2.340845578,0.292257222,2.293301344,3.40571499,2.340845578,1,207,1.200110912322998,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.12202698497243004,0.08836376736026087,0.14547331953162798,0.09540488444250582,0.0,0.02236190120743963,0.150411844,0.0,0.003363494795956821,0.003363494795956821
