t_s,joint1,joint2,joint3,joint4,joint5,joint6
0.000,0.000000,-0.000000,0.600000,0.000000,0.000000,0.000000
0.050,0.018843,-0.006282,0.618837,0.000000,0.011307,0.000000
0.100,0.037643,-0.012558,0.637600,0.000000,0.022598,0.000000
0.150,0.056360,-0.018822,0.656214,0.000000,0.033857,0.000000
0.200,0.074953,-0.025067,0.674607,0.000000,0.045068,0.000000
0.250,0.093378,-0.031287,0.692705,0.000000,0.056214,0.000000
0.300,0.111596,-0.037476,0.710437,0.000000,0.067281,0.000000
0.350,0.129567,-0.043629,0.727734,0.000000,0.078252,0.000000
0.400,0.147250,-0.049738,0.744526,0.000000,0.089112,0.000000
0.450,0.164606,-0.055798,0.760748,0.000000,0.099846,0.000000
0.500,0.181596,-0.061803,0.776336,0.000000,0.110437,0.000000
0.550,0.198183,-0.067748,0.791227,0.000000,0.120872,0.000000
0.600,0.214331,-0.073625,0.805364,0.000000,0.131135,0.000000
0.650,0.230002,-0.079430,0.818691,0.000000,0.141211,0.000000
0.700,0.245163,-0.085156,0.831154,0.000000,0.151087,0.000000
0.750,0.259779,-0.090798,0.842705,0.000000,0.160748,0.000000
0.800,0.273819,-0.096351,0.853298,0.000000,0.170181,0.000000
0.850,0.287251,-0.101808,0.862892,0.000000,0.179371,0.000000
0.900,0.300044,-0.107165,0.871448,0.000000,0.188307,0.000000
0.950,0.312172,-0.112417,0.878933,0.000000,0.196976,0.000000
1.000,0.323607,-0.117557,0.885317,0.000000,0.205364,0.000000
1.050,0.334323,-0.122581,0.890575,0.000000,0.213461,0.000000
1.100,0.344297,-0.127485,0.894686,0.000000,0.221254,0.000000
1.150,0.353506,-0.132262,0.897634,0.000000,0.228733,0.000000
1.200,0.361931,-0.136909,0.899408,0.000000,0.235887,0.000000
1.250,0.369552,-0.141421,0.900000,0.000000,0.242705,0.000000
1.300,0.376352,-0.145794,0.899408,0.000000,0.249179,0.000000
1.350,0.382317,-0.150022,0.897634,0.000000,0.255298,0.000000
1.400,0.387433,-0.154103,0.894686,0.000000,0.261055,0.000000
1.450,0.391689,-0.158031,0.890575,0.000000,0.266441,0.000000
1.500,0.395075,-0.161803,0.885317,0.000000,0.271448,0.000000
1.550,0.397584,-0.165416,0.878933,0.000000,0.276070,0.000000
1.600,0.399211,-0.168866,0.871448,0.000000,0.280299,0.000000
1.650,0.399951,-0.172148,0.862892,0.000000,0.284129,0.000000
1.700,0.399803,-0.175261,0.853298,0.000000,0.287557,0.000000
1.750,0.398767,-0.178201,0.842705,0.000000,0.290575,0.000000
1.800,0.396846,-0.180965,0.831154,0.000000,0.293180,0.000000
1.850,0.394044,-0.183551,0.818691,0.000000,0.295369,0.000000
1.900,0.390367,-0.185955,0.805364,0.000000,0.297138,0.000000
1.950,0.385823,-0.188176,0.791227,0.000000,0.298485,0.000000
2.000,0.380423,-0.190211,0.776336,0.000000,0.299408,0.000000
2.050,0.374178,-0.192059,0.760748,0.000000,0.299905,0.000000
2.100,0.367102,-0.193717,0.744526,0.000000,0.299976,0.000000
2.150,0.359211,-0.195183,0.727734,0.000000,0.299621,0.000000
2.200,0.350523,-0.196457,0.710437,0.000000,0.298840,0.000000
2.250,0.341056,-0.197538,0.692705,0.000000,0.297634,0.000000
2.300,0.330832,-0.198423,0.674607,0.000000,0.296006,0.000000
2.350,0.319874,-0.199112,0.656214,0.000000,0.293957,0.000000
2.400,0.308205,-0.199605,0.637600,0.000000,0.291490,0.000000
2.450,0.295852,-0.199901,0.618837,0.000000,0.288608,0.000000
2.500,0.282843,-0.200000,0.600000,0.000000,0.285317,0.000000
2.550,0.269205,-0.199901,0.581163,0.000000,0.281620,0.000000
2.600,0.254970,-0.199605,0.562400,0.000000,0.277523,0.000000
2.650,0.240168,-0.199112,0.543786,0.000000,0.273032,0.000000
2.700,0.224833,-0.198423,0.525393,0.000000,0.268152,0.000000
